NUI,Date,Value
177860,'2022-JUL',7 [7-EXTREMADAMENTE ALTO]
177930,'2022-JUL',99 [99-LECTURA CONFIRMADA]
178038,'2022-JUL',MAL REPORTADO EN TC2
178156,'2022-JUL',MAL REPORTADO EN TC2
178202,'2022-JUL',99 [99-LECTURA CONFIRMADA]
178214,'2022-JUL',19 [19-REGISTRADOR NO VISIBLE]
178342,'2022-JUL',MAL REPORTADO EN TC2
178376,'2022-JUL',MAL REPORTADO EN TC2
178408,'2022-JUL',MAL REPORTADO EN TC2
178462,'2022-JUL',99 [99-LECTURA CONFIRMADA]
178518,'2022-JUL',MAL REPORTADO EN TC2
178586,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
178594,'2022-JUL',19 [19-REGISTRADOR NO VISIBLE]
178616,'2022-JUL',32 [32-NO HAY ACCESO AL MEDIDOR]
178618,'2022-JUL',99 [99-LECTURA CONFIRMADA]
178674,'2022-JUL',99 [99-LECTURA CONFIRMADA]
180942,'2022-JUL',19 [19-REGISTRADOR NO VISIBLE]
180996,'2022-JUL',99 [99-LECTURA CONFIRMADA]
181032,'2022-JUL',99 [99-LECTURA CONFIRMADA]
181070,'2022-JUL',99 [99-LECTURA CONFIRMADA]
181150,'2022-JUL',MAL REPORTADO EN TC2
181170,'2022-JUL',19 [19-REGISTRADOR NO VISIBLE]
181230,'2022-JUL',MAL REPORTADO EN TC2
181252,'2022-JUL',99 [99-LECTURA CONFIRMADA]
181256,'2022-JUL',10 [10-MEDIDOR INEXISTENTE O DESC]
181276,'2022-JUL',PARA REVISION
